,bhk,area,region,price_in_cr
38416,2,1080,Andheri East,2.3
38418,5,3500,Thane West,7.25
38419,2,750,Andheri West,2.2
38420,3,1800,Andheri West,4.0
38429,2,660,Kandivali East,1.7
38433,2,828,Powai,2.0
38443,4,2990,Agripada,16.98
38446,3,1315,Powai,2.75
38447,2,1050,Powai,3.6
38448,1,650,Andheri East,1.3
38449,3,1038,Andheri East,2.28
38454,3,1490,Marine Lines,5.05
38455,4,2110,Goregaon East,5.5
38456,3,1550,Marine Lines,7.6
38458,3,1250,Bandra West,5.5
38462,4,1731,Byculla,7.36
38463,3,1303,Byculla,5.99
38464,2,650,Powai,1.97
38465,2,744,Kandivali East,2.32
38466,3,968,Goregaon West,2.6
38467,2,921,Goregaon West,2.47
38468,2,761,Kandivali West,1.83
38469,5,2142,Worli,13.45
38471,4,1460,Borivali East,4.0
38472,2,667,Andheri East,1.96
38473,3,1335,Prabhadevi,7.5
38474,3,904,Andheri East,2.41
38475,2,759,Goregaon West,2.35
38476,4,2500,Prabhadevi,12.0
38479,2,692,Borivali West,1.65
38480,3,1200,Borivali East,3.0
38481,2,698,Borivali West,1.75
38482,2,810,Borivali East,1.65
38490,2,1260,Powai,3.35
38491,3,1450,Malad West,2.9
38498,2,900,Borivali East,2.3
38510,4,1710,Andheri East,5.08
38511,2,659,Andheri West,2.31
38512,2,640,Jogeshwari West,1.89
38513,4,1307,Borivali East,3.46
38514,4,1340,Jogeshwari West,3.96
38525,2,750,Borivali West,1.65
38526,3,1250,Borivali East,3.6
38527,2,650,Borivali West,1.65
38534,2,925,Andheri East,2.3
38548,3,1268,Thane West,2.56
38549,3,1290,Malad East,3.5
38560,1,384,Thane West,0.9
38562,2,614,Thane West,1.43
38563,2,635,Thane West,1.51
38567,4,1477,Wadala,6.57
38568,3,917,Wadala,4.19
38569,3,1073,Wadala,4.91
38577,4,1450,Wadala,6.44
38583,4,2200,Powai,10.5
38587,2,705,Malad West,1.68
38588,3,1049,Malad West,2.5
38589,2,644,Malad West,1.55
38590,3,998,Malad West,2.37
38593,3,1113,Andheri East,3.7
38595,2,620,Borivali West,1.75
38596,4,3000,Andheri West,9.0
38598,2,885,Goregaon West,2.25
38599,2,950,Malad West,1.9
38605,2,1350,Chembur,3.04
38606,2,1350,Chembur,3.04
38607,2,1350,Chembur,3.06
38609,2,1010,Andheri West,2.6
38631,2,637,Sion,1.53
38632,2,606,Sion,1.46
38633,2,637,Sion,1.53
38634,1,404,Sion,0.97
38635,2,606,Sion,1.46
38637,1,404,Sion,0.97
38638,2,687,Sion,1.65
38640,2,687,Sion,1.65
38651,1,423,Kandivali West,0.87
38657,4,1335,Sion,4.93
38658,3,1273,Sion,4.7
38659,2,938,Sion,3.47
38691,4,1610,Kandivali West,4.67
38696,3,1765,Kandivali West,3.9
38697,2,931,Kandivali West,2.2
38699,3,1243,Matunga,7.0
38703,2,1010,Powai,3.03
38710,2,710,Chembur,1.45
38722,1,567,Borivali East,1.2
38738,1,444,Kurla,0.99
38741,1,439,Kurla,0.98
38744,2,671,Powai,1.98
38751,2,1125,Borivali East,2.33
38752,5,2190,Borivali West,6.5
38765,1,401,Kanjurmarg,0.85
38769,2,663,Kandivali West,1.49
38770,3,961,Kandivali West,2.16
38775,2,744,Sion,1.78
